date,electricity_consumption_GWh,consumption_ema_3,consumption_lag_12,consumption_ma_3,consumption_lag_1,consumption_ema_6,year_normalized,consumption_ema_12,consumption_ma_12,temp_anomaly,consumption_ma_6,fossil_renewables_ratio,renewables_kWh,renewables_normalized,sustainability_score,consumption_lag_3,consumption_scaled
2000-01-01,1261.78,0.02599794842242964,0.03256420473068422,0.028622999278596684,0.030424556238049405,0.019718008244992813,0.0,0.01181448449037692,0.005654002261600954,0.18947072072071997,0.021310021291292114,0.9769202371738395,3.4502681879333e-05,3.450268187933474e-05,0.00013251354008709734,0.030424556238049405,0.030424556238049405
2000-02-01,1309.42,0.03643239112631591,0.03256420473068422,0.03910094368947992,0.030424556238049405,0.025902212769994493,0.0,0.015312821589850367,0.017087606835042735,0.18947072072071997,0.03201709896030769,0.9929408767654453,0.0,0.0,0.0,0.030424556238049405,0.05057786351253035
2000-03-01,1287.12,0.03676531205221656,0.03256420473068422,0.03932381628260251,0.05057786351253035,0.027424712444645394,0.0,0.016635402240355313,0.017330806932322695,0.1908783783783788,0.032244845364686414,1.0,0.00014835625632215153,0.0001483562563221498,6.835972177309836e-05,0.030424556238049405,0.04114422051880806
2000-04-01,1286.54,0.03680473689870478,0.03256420473068422,0.042954293523205234,0.04114422051880806,0.028436921728951403,0.0,0.01771191793879978,0.017382806953122776,0.18947072072071997,0.03229354114193839,0.979589590671498,0.00037849000495247115,0.00037849000495247115,0.00038310501431335076,0.030424556238049405,0.040898861194307745
2000-05-01,1292.41,0.03811013737131519,0.03256420473068422,0.04046017325411588,0.040898861194307745,0.029921919976084732,0.0,0.019053866189580715,0.017977527191010978,0.1908783783783788,0.03285047100054095,0.9914274801056324,0.0002498606405811569,0.0002498606405811569,0.00020295143149901083,0.05057786351253035,0.043382066771578964
2000-06-01,1276.51,0.03528030950115968,0.03256420473068422,0.0389044639034376,0.043382066771578964,0.02891863527785532,0.0,0.019021779841453812,0.017102006840802653,0.18947072072071997,0.032030583944777424,0.9865609207931487,0.00016477882888191013,0.00016477882888191013,0.0001696232523253332,0.04114422051880806,0.036655837013723214
2000-07-01,1230.25,0.0237332100186054,0.03256420473068422,0.030650846622600536,0.036655837013723214,0.022196938251334286,0.0,0.01559762997586922,0.013304519607522214,0.18947072072071997,0.02966846416515212,0.9885503491043821,0.0005400582105200558,0.0005400582105200558,0.0004462719086410884,0.040898861194307745,0.017086315718226053
2000-08-01,1227.13,0.017276296271532154,0.03256420473068422,0.02107905525480802,0.017086315718226053,0.016990715213840768,0.0,0.01247116215904498,0.010269204107681618,0.18947072072071997,0.023503578765045163,0.9675090126714001,0.0008695317767816804,0.0008695317767816804,0.0008528473112100667,0.043382066771578964,0.015766451765741207
2000-09-01,1189.86,0.005884705905681353,0.03256420473068422,0.008373851179758529,0.015766451765741207,0.00843392186473857,0.0,0.007088850102604849,0.005920669034934378,0.1891891891891887,0.016217192156533722,0.9778694569938211,0.000610618475470932,0.000610618475470932,0.0005757413436213287,0.036655837013723214,0.0
2000-10-01,1206.68,0.003872943600156775,0.03256420473068422,0.004917859719297923,0.0,0.0045053506311338865,0.0,0.0037697252238896306,0.0032492012996805375,0.1894707207207212,0.010234354046768979,0.9758800197074124,1.2700990663959758e-05,1.2700990663959758e-05,0.0001223790994214595,0.017086315718226053,0.007115420410511608
2000-11-01,1193.59,0.0,0.03256420473068422,0.0,0.007115420410511608,0.0,0.0,0.0,0.0004922547423564794,0.1891891891891887,0.0028310975728526033,0.9788104913220286,0.00026786357674927173,0.00026786357674927173,0.00030224196069219243,0.015766451765741207,0.0015779142765284249
2000-12-01,1238.72,0.007948213322221953,0.03256420473068422,0.007164180855244395,0.0015779142765284249,0.0026402708742868652,0.0,0.00012425335297250317,0.0,0.18947072072071997,0.0,0.9844382990209353,0.0008731685321221941,0.0008731685321221958,0.000731871287064664,0.0,0.020669407922567995
2001-01-01,1316.97,0.02906117685946863,0.03256420473068422,0.02333564026017454,0.020669407922567995,0.01468390332848113,0.043478260869565216,0.005975504953972144,0.002207600883040284,0.5475788288288287,0.006496765851224717,0.853630418622982,0.01834829383588533,0.01834829383588533,0.015447765880758186,0.007115420410511608,0.05377176506421655
2001-02-01,1358.5,0.048713846820627626,0.054134820878762646,0.04751585034691885,0.05377176506421655,0.028677556165389806,0.043478260869565216,0.013976226883867349,0.004170801668320623,0.5475788288288287,0.01633855701676179,0.8500049806194823,0.0205734360209432,0.0205734360209432,0.01707101081591985,0.0015779142765284249,0.07134033876508117
2001-03-01,1407.33,0.06923526654576562,0.044037744050421934,0.07223857924586963,0.07134033876508117,0.04501170230441587,0.043478260869565216,0.024331790611047288,0.008979203591681473,0.5489864864864851,0.03263066575368323,0.8580757061045092,0.01862006985605223,0.01862006985605223,0.015533086851386357,0.020669407922567995,0.09199705568810601
2001-04-01,1368.63,0.07101963441336412,0.04377512949614226,0.07981331487791876,0.09199705568810601,0.05165525695384943,0.043478260869565216,0.03025234254033471,0.012262804905121993,0.5475788288288287,0.04476340594747752,0.8411744685269231,0.02041299857500569,0.02041299857500569,0.017184080072594275,0.05377176506421655,0.07562566627747613
2001-05-01,1394.11,0.07749262439449789,0.04643296989893875,0.0850346918786401,0.07562566627747613,0.0597082419501741,0.043478260869565216,0.037133107272384835,0.01633080653232266,0.5489864864864851,0.05978567864682682,0.8400956869669376,0.020227300526683933,0.020227300526683933,0.017083185411081024,0.07134033876508117,0.08640455522276935
