"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","98.199757659685","88.6996936952268","87.8997936548878","85.2000087483324","83.7005829301669","82.3997905256497","81.0997928362118","84.2729565034671","85.3004631949202","85.3529990550322","84.9794691654622","85.2028212042921","85.2028212042921","","","",
"","AFE","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.996899194185495","0.993730955107428","1.01555482474439","1.03321627019812","1.29129032701985","1.52333213350931","1.32537023793093","1.6418331185567","1.44099159488468","1.9747697236684","2.47244064045739","2.24083254594724","2.04272539944505","2.13173889138275","2.3837352436804","2.47994984194989","2.79303479304561","3.19991642543243","3.29479140388565","3.58889281828698","2.87123558199969","3.32201869917897","3.9265294963101","4.51471285033461","5.05130234498248","5.73378309438342","4.8686505537333","4.80561949396897","4.63997646203427","4.54203391965731","4.39396467591535","4.73476825144747","4.45648542175509","10.2731638195702","",
"Afghanistan","AFG","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.46268229911353","6.46268229911353","6.46255029718744","19.3691395598403","37.1350640094301","36.9860208594987","29.1044054614401","30.9694157561243","33.2683179814424","20.3501579620257","18.2471352099489","25.599241342475","20.2020412848824","18.9913642316181","14.5385252975809","12.4217605258031","12.2387345386132","13.1354163321666","17.3280043111191","12.1596421813177","12.876214093821","21.7655253936759","","","",
"","AFW","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7054453606716","13.2435906591445","15.3244615173549","15.6999173325985","14.7803151709402","17.5717722534082","16.0651529505241","6.77336634538863","11.9902772891547","10.0467426234297","12.8444574733167","14.6845347791547","15.287803204488","16.1062791203611","12.3441976471043","14.0645289921375","17.5112732173578","20.3884749417586","17.9133332645309","17.7913521014381","15.804569570953","13.497763625944","15.8846740887309","15.9626352121615","14.5137085639366","14.5372766407708","15.4188411755119","18.1120976627537","16.3954618761452","14.708924248943","12.9710570372348","12.1341552446723","10.1645719705952","","",
"Angola","AGO","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7931034482759","17.3447537473233","11.29883843717","6.31578947368421","6.282722513089","6.25","10.0194552529183","23.6474694589878","19.5751138088012","33.0337078651685","36.8858131487889","37.9120879120879","35.2407932011331","37.7944862155388","21.8011591618368","15.737580583997","14.7167281260476","23.2098765432099","22.3154776598371","33.4757834757835","32.0425766195632","29.0670915206231","29.0661478599222","42.0289855072464","47.4686875065783","45.6669411280362","41.6758342500917","28.3545953999441","20.0137656775772","17.3370689080115","14.8615067579853","16.2551575086777","16.2215314343716","","",
"Albanie","ALB","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5922330097087","7.85751702462022","4.94991160872127","6.09237744403514","4.31362598325298","6.01386094343841","4.27950518221331","3.82555470543229","3.67978077901742","2.67084177564929","3.8509836751779","4.6916890080429","6.04601391118245","2.14342948717949","2.49732429539779","1.28605548410803","1.68356263577118","2.51748251748252","0","0.0192233756247597","0.0132135306553911","1.4077785731329","0","0","0","0","0","0","0","0","0","0","","","",
"Andorre","AND","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Le monde arabe","ARB","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4697855750487","44.8117889593037","44.778723496104","41.8423269411823","41.3760564920558","40.9244122230098","40.4800354194279","41.5991455805475","43.9209564780708","42.586405637921","39.0623069970241","36.1529559703318","36.3347489621597","35.3878834603551","36.4616535703924","32.8341794422132","32.4715807441335","32.589694446359","33.8288931837409","34.0227441983391","32.5998101288437","33.1638442792046","34.8661546507471","34.535685781948","37.1519419187466","35.9767984139156","30.570008040251","27.7464760404197","24.5077638726729","23.7883901703289","22.6518079191366","23.2459708114349","23.7646825165526","","",
"Émirats arabes unis","ARE","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.63700234192037","4.62797533283384","4.62839103215795","4.63414634146341","4.63431075160094","3.83876391001521","4.1886195995785","5.22183098591549","4.37829420220412","4.05376286160642","3.8153414780693","3.54859631242472","3.6003926925047","3.77350859453994","3.64576377892668","3.33454150054368","3.17667145938174","2.81484491055218","2.85721387470017","2.61382996102593","2.40343164908621","2.18586400637502","2.08054828566587","1.97281694622483","1.97348663606332","1.93981928514794","1.92341817564596","1.78720052315558","0.699927948593527","0.579976020916694","0.549122423712767","0.552156294447575","0.55134523089592","","",
"Argentine","ARG","Production d’électricité à partir de sources pétrolières (% du total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.981024816717","14.425219070251","12.935474098758","10.1066580478345","7.40926958588536","4.90019499560888","5.12813162873359","3.38737495688168","5.01462599247806","4.80937109176686","3.28898577432186","1.55178916076935","1.18196324094321","1.48681523958469","4.52437698820291","5.23499323998525","6.62882126864356","10.346558633141","11.005765745077","8.55428776931376","13.2642939332619","15.0178370114126","14.384306692734","14.3632543899274","13.4828541738829","15.1725370753608","14.062627360413","8.00719562769493","4.63896457765668","2.46927734584931","4.67236427612776","8.02198734813519","10.3408973874833","9.05463061414016","",
